,words,bbox,tags
0,Microsoft,"[0.1103515625, 0.044921875, 0.1904296875, 0.05859375]",vendor_name
1,INVOICE,"[0.7509765625, 0.03515625, 0.9375, 0.0625]",
2,#20,"[0.890625, 0.072265625, 0.9365234375, 0.0908203125]",
3,"Redmond,","[0.080078125, 0.1044921875, 0.16015625, 0.119140625]",
4,"Washington,","[0.1630859375, 0.1044921875, 0.2626953125, 0.119140625]",
5,United,"[0.2666015625, 0.1044921875, 0.318359375, 0.1162109375]",
6,States,"[0.3203125, 0.103515625, 0.3720703125, 0.1181640625]",
7,Bill,"[0.078125, 0.142578125, 0.1044921875, 0.158203125]",
8,To:,"[0.103515625, 0.142578125, 0.1318359375, 0.158203125]",
9,"Austin,","[0.0791015625, 0.1640625, 0.13671875, 0.1787109375]",
10,"Texas,","[0.1376953125, 0.1640625, 0.19140625, 0.1787109375]",
11,United,"[0.0791015625, 0.1806640625, 0.1318359375, 0.1923828125]",
12,State,"[0.1337890625, 0.1806640625, 0.17578125, 0.1923828125]",
13,Ship,"[0.2978515625, 0.1435546875, 0.333984375, 0.1591796875]",
14,To:,"[0.333984375, 0.142578125, 0.36328125, 0.158203125]",
15,"Austin,","[0.2978515625, 0.1640625, 0.35546875, 0.1787109375]",
16,"Texas,","[0.357421875, 0.1640625, 0.4111328125, 0.1787109375]",
17,United,"[0.298828125, 0.1806640625, 0.3505859375, 0.1923828125]",
18,State,"[0.353515625, 0.1806640625, 0.3955078125, 0.1923828125]",
19,Date:,"[0.7119140625, 0.1416015625, 0.751953125, 0.1533203125]",
20,Payment,"[0.6318359375, 0.1708984375, 0.6953125, 0.1826171875]",
21,Terms:,"[0.6982421875, 0.169921875, 0.751953125, 0.181640625]",
22,Due,"[0.67578125, 0.1962890625, 0.7099609375, 0.2109375]",
23,Date:,"[0.7109375, 0.1982421875, 0.751953125, 0.2099609375]",
24,PO,"[0.658203125, 0.2255859375, 0.6865234375, 0.2392578125]",
25,Number:,"[0.6875, 0.2265625, 0.751953125, 0.2373046875]",
26,Balance,"[0.6328125, 0.2548828125, 0.70703125, 0.26953125]",
