,words,bbox,tags
0,Microsoft,"[0.1103515625, 0.044921875, 0.1904296875, 0.05859375]",
1,INVOICE,"[0.7509765625, 0.03515625, 0.9365234375, 0.0625]",
2,#,"[0.8798828125, 0.072265625, 0.8984375, 0.0908203125]",
3,100,"[0.8984375, 0.07421875, 0.9345703125, 0.0888671875]",
4,"Redmond,","[0.080078125, 0.1044921875, 0.16015625, 0.119140625]",
5,"Washington,","[0.1630859375, 0.1044921875, 0.2626953125, 0.119140625]",
6,United,"[0.2666015625, 0.1044921875, 0.318359375, 0.1162109375]",
7,States,"[0.3203125, 0.103515625, 0.3720703125, 0.1181640625]",
8,Bill,"[0.078125, 0.142578125, 0.1044921875, 0.158203125]",
9,To:,"[0.103515625, 0.142578125, 0.1318359375, 0.158203125]",
10,Mountain,"[0.0791015625, 0.1650390625, 0.1533203125, 0.1767578125]",
11,"View,","[0.1552734375, 0.1640625, 0.2001953125, 0.1787109375]",
12,"California,","[0.0791015625, 0.1806640625, 0.1611328125, 0.1943359375]",
13,United,"[0.1640625, 0.1806640625, 0.2158203125, 0.1923828125]",
14,States,"[0.0791015625, 0.1962890625, 0.1298828125, 0.2080078125]",
15,Ship,"[0.2978515625, 0.1435546875, 0.333984375, 0.1591796875]",
16,To:,"[0.333984375, 0.142578125, 0.36328125, 0.158203125]",
17,Mountain,"[0.298828125, 0.1650390625, 0.373046875, 0.1767578125]",
18,"View,","[0.375, 0.1640625, 0.419921875, 0.1787109375]",
19,"California,","[0.298828125, 0.1796875, 0.3798828125, 0.1943359375]",
20,United,"[0.3837890625, 0.1806640625, 0.4345703125, 0.1923828125]",
21,States,"[0.298828125, 0.1962890625, 0.349609375, 0.2080078125]",
22,Date:,"[0.7119140625, 0.1416015625, 0.751953125, 0.1533203125]",
23,Payment,"[0.6318359375, 0.1708984375, 0.6953125, 0.1826171875]",
24,Terms:,"[0.6982421875, 0.169921875, 0.751953125, 0.181640625]",
25,Due,"[0.67578125, 0.1962890625, 0.7099609375, 0.2109375]",
26,Date:,"[0.7109375, 0.1982421875, 0.751953125, 0.2099609375]",
27,PO,"[0.658203125, 0.2255859375, 0.6865234375, 0.2392578125]",
28,Number:,"[0.6875, 0.2265625, 0.751953125, 0.2373046875]",
29,Balance,"[0.6328125, 0.2548828125, 0.70703125, 0.26953125]",
30,Due:,"[0.7099609375, 0.2548828125, 0.7529296875, 0.26953125]",
31,Apr,"[0.8310546875, 0.140625, 0.861328125, 0.1572265625]",
32,"29,","[0.8603515625, 0.140625, 0.8876953125, 0.15625]",
33,2022,"[0.88671875, 0.140625, 0.9287109375, 0.1552734375]",
34,Card,"[0.890625, 0.16796875, 0.9287109375, 0.1826171875]",
35,May,"[0.8251953125, 0.197265625, 0.859375, 0.212890625]",
36,"25,","[0.859375, 0.1962890625, 0.88671875, 0.212890625]",
37,2022,"[0.8876953125, 0.1982421875, 0.9267578125, 0.2099609375]",
38,24325,"[0.8798828125, 0.224609375, 0.9287109375, 0.2392578125]",
39,"$3,318.72","[0.841796875, 0.255859375, 0.927734375, 0.2705078125]",
40,Item,"[0.072265625, 0.330078125, 0.107421875, 0.3447265625]",
41,surface,"[0.0732421875, 0.365234375, 0.1328125, 0.376953125]",
42,pro,"[0.1337890625, 0.365234375, 0.1650390625, 0.3798828125]",
43,mouse,"[0.072265625, 0.3876953125, 0.126953125, 0.3984375]",
44,Quantity,"[0.599609375, 0.3310546875, 0.662109375, 0.345703125]",
45,5,"[0.5986328125, 0.36328125, 0.6123046875, 0.3779296875]",
46,2,"[0.59765625, 0.3857421875, 0.6123046875, 0.400390625]",
47,Rate,"[0.7666015625, 0.330078125, 0.8037109375, 0.3447265625]",
48,"$1,500.00","[0.728515625, 0.365234375, 0.80078125, 0.376953125]",
49,$20.00,"[0.75, 0.3857421875, 0.802734375, 0.400390625]",
50,Amount,"[0.8701171875, 0.33203125, 0.927734375, 0.34375]",
51,"$7,500.00","[0.853515625, 0.365234375, 0.9267578125, 0.376953125]",
52,$40.00,"[0.875, 0.3857421875, 0.9287109375, 0.400390625]",
53,Subtotal:,"[0.685546875, 0.470703125, 0.7509765625, 0.482421875]",
54,Discount,"[0.6328125, 0.4990234375, 0.697265625, 0.509765625]",
55,(12%):,"[0.7001953125, 0.498046875, 0.751953125, 0.5126953125]",
56,Tax,"[0.6669921875, 0.525390625, 0.69921875, 0.5400390625]",
57,(10%):,"[0.7001953125, 0.5263671875, 0.751953125, 0.541015625]",
58,Shipping:,"[0.681640625, 0.5546875, 0.7509765625, 0.5693359375]",
59,Total:,"[0.708984375, 0.5830078125, 0.7509765625, 0.5947265625]",
60,Amount,"[0.6513671875, 0.611328125, 0.708984375, 0.623046875]",
61,Paid:,"[0.7119140625, 0.609375, 0.7529296875, 0.6240234375]",
62,"$7,540.00","[0.8544921875, 0.470703125, 0.9267578125, 0.482421875]",
63,$904.80,"[0.8671875, 0.4990234375, 0.927734375, 0.5107421875]",
64,$663.52,"[0.8671875, 0.525390625, 0.9287109375, 0.5400390625]",
65,$20.00,"[0.875, 0.5537109375, 0.9287109375, 0.568359375]",
66,"$7,318.72","[0.8525390625, 0.58203125, 0.9287109375, 0.5966796875]",
67,"$4,000.00","[0.853515625, 0.6103515625, 0.927734375, 0.625]",
68,Terms:,"[0.078125, 0.6806640625, 0.1328125, 0.6953125]",
69,Late,"[0.078125, 0.701171875, 0.11328125, 0.7158203125]",
70,fees,"[0.11328125, 0.701171875, 0.1494140625, 0.7158203125]",
71,will,"[0.1484375, 0.701171875, 0.1767578125, 0.716796875]",
72,increase,"[0.177734375, 0.703125, 0.2412109375, 0.71484375]",
73,due,"[0.2421875, 0.701171875, 0.2744140625, 0.7158203125]",
74,amount,"[0.275390625, 0.703125, 0.33203125, 0.71484375]",
75,by,"[0.3330078125, 0.701171875, 0.35546875, 0.71875]",
76,3%.,"[0.3544921875, 0.701171875, 0.38671875, 0.716796875]",
