,words,bbox,tags
0,Microsoft,"[0.1103515625, 0.044921875, 0.1904296875, 0.05859375]",vendor_name
1,INVOICE,"[0.7509765625, 0.03515625, 0.9375, 0.0625]",invoice_name
2,#20,"[0.890625, 0.072265625, 0.9365234375, 0.0908203125]",invoice_no
3,"Redmond,","[0.080078125, 0.1044921875, 0.16015625, 0.119140625]",ven_add
4,"Washington,","[0.1630859375, 0.1044921875, 0.2626953125, 0.119140625]",ven_add
5,United,"[0.2666015625, 0.1044921875, 0.318359375, 0.1162109375]",ven_add
6,States,"[0.3203125, 0.103515625, 0.3720703125, 0.1181640625]",ven_add
7,Bill,"[0.078125, 0.142578125, 0.1044921875, 0.158203125]",bill_add
8,To:,"[0.103515625, 0.142578125, 0.1318359375, 0.158203125]",bill_add
9,"Austin,","[0.0791015625, 0.1640625, 0.13671875, 0.1787109375]",bill_add
10,"Texas,","[0.1376953125, 0.1640625, 0.19140625, 0.1787109375]",bill_add
11,United,"[0.0791015625, 0.1806640625, 0.1318359375, 0.1923828125]",bill_add
12,State,"[0.1337890625, 0.1806640625, 0.17578125, 0.1923828125]",bill_add
13,Ship,"[0.2978515625, 0.1435546875, 0.333984375, 0.1591796875]",ship_add
14,To:,"[0.333984375, 0.142578125, 0.36328125, 0.158203125]",ship_add
15,"Austin,","[0.2978515625, 0.1640625, 0.35546875, 0.1787109375]",ship_add
16,"Texas,","[0.357421875, 0.1640625, 0.4111328125, 0.1787109375]",ship_add
17,United,"[0.298828125, 0.1806640625, 0.3505859375, 0.1923828125]",ship_add
18,State,"[0.353515625, 0.1806640625, 0.3955078125, 0.1923828125]",ship_add
19,Date:,"[0.7119140625, 0.1416015625, 0.751953125, 0.1533203125]",bill_date
20,Payment,"[0.6318359375, 0.1708984375, 0.6953125, 0.1826171875]",pay_type
21,Terms:,"[0.6982421875, 0.169921875, 0.751953125, 0.181640625]",pay_type
22,Due,"[0.67578125, 0.1962890625, 0.7099609375, 0.2109375]",due_date
23,Date:,"[0.7109375, 0.1982421875, 0.751953125, 0.2099609375]",due_date
24,PO,"[0.658203125, 0.2255859375, 0.6865234375, 0.2392578125]",other
25,Number:,"[0.6875, 0.2265625, 0.751953125, 0.2373046875]",other
26,Balance,"[0.6328125, 0.2548828125, 0.70703125, 0.26953125]",amt_due
27,Due:,"[0.7099609375, 0.2548828125, 0.7529296875, 0.26953125]",amt_due
28,Apr,"[0.8310546875, 0.140625, 0.861328125, 0.1572265625]",bill_date
29,"16,","[0.861328125, 0.140625, 0.8876953125, 0.15625]",bill_date
30,2022,"[0.8876953125, 0.140625, 0.9287109375, 0.1552734375]",bill_date
31,Check,"[0.8798828125, 0.169921875, 0.927734375, 0.181640625]",pay_type
32,May,"[0.8251953125, 0.197265625, 0.859375, 0.212890625]",due_date
33,"28,","[0.859375, 0.1962890625, 0.88671875, 0.212890625]",due_date
34,2022,"[0.8876953125, 0.1982421875, 0.9267578125, 0.2099609375]",due_date
35,24325,"[0.8798828125, 0.224609375, 0.9287109375, 0.2392578125]",other
36,$ 0.00,"[0.8798828125, 0.2548828125, 0.9287109375, 0.2705078125]",amt_due
37,Item,"[0.072265625, 0.330078125, 0.107421875, 0.3447265625]",tab
38,licence,"[0.0732421875, 0.3642578125, 0.1298828125, 0.3759765625]",tab
39,tool,"[0.0703125, 0.384765625, 0.10546875, 0.3994140625]",tab
40,Quantity,"[0.599609375, 0.3310546875, 0.662109375, 0.345703125]",tab
41,1,"[0.599609375, 0.36328125, 0.609375, 0.376953125]",tab
42,1,"[0.599609375, 0.3857421875, 0.609375, 0.3994140625]",tab
43,Rate,"[0.7666015625, 0.330078125, 0.8037109375, 0.3447265625]",tab
44,"$ 1,300.00","[0.728515625, 0.365234375, 0.80078125, 0.376953125]",unit_am
45,$ 150.00,"[0.7421875, 0.3876953125, 0.8017578125, 0.3994140625]",unit_am
46,Amount,"[0.8701171875, 0.33203125, 0.927734375, 0.34375]",am
47,"$ 1,300.00","[0.853515625, 0.365234375, 0.9267578125, 0.376953125]",ut_am
48,$ 150.00,"[0.8671875, 0.3876953125, 0.927734375, 0.3994140625]",ut_am
49,Subtotal:,"[0.685546875, 0.470703125, 0.7509765625, 0.482421875]",subt
50,Discount,"[0.6328125, 0.498046875, 0.697265625, 0.509765625]",dis
51,(12%):,"[0.7001953125, 0.498046875, 0.751953125, 0.5126953125]",dis_per
52,Tax,"[0.6669921875, 0.525390625, 0.69921875, 0.5400390625]",tax
53,(10%):,"[0.7001953125, 0.5263671875, 0.751953125, 0.541015625]",tax_per
54,Shipping:,"[0.681640625, 0.5546875, 0.7509765625, 0.5693359375]",ship_am
55,Total:,"[0.708984375, 0.5830078125, 0.7509765625, 0.5947265625]",total
56,Amount,"[0.6513671875, 0.611328125, 0.708984375, 0.623046875]",am_p
57,Paid:,"[0.7119140625, 0.609375, 0.7529296875, 0.6240234375]",am_p
58,"$ 1,450.00","[0.853515625, 0.470703125, 0.9267578125, 0.482421875]",subt
59,$ 174.00,"[0.8671875, 0.4990234375, 0.927734375, 0.5107421875]",dis_am
60,$ 127.60,"[0.8662109375, 0.525390625, 0.9287109375, 0.5400390625]",tax_am
61,$ 20.00,"[0.875, 0.5537109375, 0.9287109375, 0.568359375]",ship_am
62,"$ 1,423.60","[0.8525390625, 0.58203125, 0.927734375, 0.5966796875]",total
63,"$ 1,423.60","[0.8525390625, 0.6103515625, 0.927734375, 0.625]",am_p
64,Terms:,"[0.078125, 0.6806640625, 0.1328125, 0.6953125]",other
65,Late,"[0.078125, 0.701171875, 0.11328125, 0.7158203125]",other
66,fees,"[0.11328125, 0.701171875, 0.1494140625, 0.7158203125]",other
67,will,"[0.1484375, 0.701171875, 0.1767578125, 0.716796875]",other
68,increase,"[0.177734375, 0.703125, 0.2412109375, 0.71484375]",other
69,due,"[0.2421875, 0.701171875, 0.2744140625, 0.7158203125]",other
70,amount,"[0.275390625, 0.703125, 0.33203125, 0.71484375]",other
71,by,"[0.3330078125, 0.701171875, 0.35546875, 0.71875]",other
72,3%,"[0.3544921875, 0.701171875, 0.38671875, 0.716796875]",other
