,words,bbox,tags
0,Microsoft,"[187.59765625, 98.828125, 323.73046875, 128.90625]",
1,INVOICE,"[1276.66015625, 77.34375, 1593.75, 137.5]",
2,#50,"[1514.0625, 158.984375, 1592.08984375, 199.8046875]",
3,"Redmond,","[136.1328125, 229.8828125, 272.265625, 262.109375]",
4,"Washington,","[277.24609375, 229.8828125, 446.58203125, 262.109375]",
5,United,"[453.22265625, 229.8828125, 541.2109375, 255.6640625]",
6,States,"[544.53125, 227.734375, 632.51953125, 259.9609375]",
7,Bill,"[132.8125, 313.671875, 177.63671875, 348.046875]",
8,To:,"[175.9765625, 313.671875, 224.12109375, 348.046875]",
9,Mountain,"[134.47265625, 363.0859375, 260.64453125, 388.8671875]",
10,"View,","[263.96484375, 360.9375, 340.33203125, 393.1640625]",
11,"California,","[134.47265625, 397.4609375, 273.92578125, 427.5390625]",
12,United,"[278.90625, 397.4609375, 366.89453125, 423.2421875]",
13,States,"[134.47265625, 431.8359375, 220.80078125, 457.6171875]",
14,Ship,"[506.34765625, 315.8203125, 567.7734375, 350.1953125]",
15,To:,"[567.7734375, 313.671875, 617.578125, 348.046875]",
16,Mountain,"[508.0078125, 363.0859375, 634.1796875, 388.8671875]",
17,"View,","[637.5, 360.9375, 713.8671875, 393.1640625]",
18,"California,","[508.0078125, 395.3125, 645.80078125, 427.5390625]",
19,United,"[652.44140625, 397.4609375, 738.76953125, 423.2421875]",
20,States,"[508.0078125, 431.8359375, 594.3359375, 457.6171875]",
21,Date:,"[1210.25390625, 311.5234375, 1278.3203125, 337.3046875]",
22,Payment,"[1074.12109375, 375.9765625, 1182.03125, 401.7578125]",
23,Terms:,"[1187.01171875, 373.828125, 1278.3203125, 399.609375]",
24,Due,"[1148.828125, 431.8359375, 1206.93359375, 464.0625]",
25,Date:,"[1208.59375, 436.1328125, 1278.3203125, 461.9140625]",
26,PO,"[1118.9453125, 496.2890625, 1167.08984375, 526.3671875]",
27,Number:,"[1168.75, 498.4375, 1278.3203125, 522.0703125]",
28,Balance,"[1075.78125, 560.7421875, 1201.953125, 592.96875]",
29,Due:,"[1206.93359375, 560.7421875, 1279.98046875, 592.96875]",
30,Apr,"[1427.734375, 309.375, 1479.19921875, 345.8984375]",
31,"5,","[1477.5390625, 307.2265625, 1509.08203125, 345.8984375]",
32,2022,"[1507.421875, 309.375, 1577.1484375, 341.6015625]",
33,Card,"[1514.0625, 369.53125, 1578.80859375, 401.7578125]",
34,May,"[1417.7734375, 433.984375, 1475.87890625, 468.359375]",
35,"6,","[1477.5390625, 433.984375, 1505.76171875, 466.2109375]",
36,2022,"[1509.08203125, 436.1328125, 1573.828125, 461.9140625]",
37,54321,"[1495.80078125, 494.140625, 1575.48828125, 526.3671875]",
38,710.72,"[1455.95703125, 560.7421875, 1578.80859375, 592.96875]",
39,Item,"[122.8515625, 726.171875, 182.6171875, 758.3984375]",
40,surface,"[124.51171875, 803.515625, 225.78125, 829.296875]",
41,pro,"[227.44140625, 803.515625, 280.56640625, 835.7421875]",
42,mouse,"[122.8515625, 852.9296875, 215.8203125, 876.5625]",
43,Quantity,"[1019.3359375, 728.3203125, 1125.5859375, 760.546875]",
44,1,"[1019.3359375, 799.21875, 1035.9375, 829.296875]",
45,2,"[1016.015625, 848.6328125, 1040.91796875, 880.859375]",
46,Rate,"[1303.22265625, 726.171875, 1366.30859375, 758.3984375]",
47,"R1,500.00","[1236.81640625, 803.515625, 1361.328125, 829.296875]",
48,R20.00,"[1275.0, 850.78125, 1362.98828125, 876.5625]",
49,Amount,"[1479.19921875, 730.46875, 1577.1484375, 756.25]",
50,"R1,500.00","[1449.31640625, 803.515625, 1575.48828125, 829.296875]",
51,R40.00,"[1487.5, 850.78125, 1577.1484375, 876.5625]",
52,Subtotal:,"[1165.4296875, 1035.546875, 1276.66015625, 1061.328125]",
53,Discount,"[1075.78125, 1097.8515625, 1185.3515625, 1121.484375]",
54,(12%):,"[1190.33203125, 1095.703125, 1278.3203125, 1127.9296875]",
55,Tax,"[1133.88671875, 1155.859375, 1188.671875, 1188.0859375]",
56,(10%):,"[1190.33203125, 1158.0078125, 1278.3203125, 1190.234375]",
57,Shipping:,"[1158.7890625, 1220.3125, 1276.66015625, 1252.5390625]",
58,Total:,"[1205.2734375, 1282.6171875, 1276.66015625, 1308.3984375]",
59,Amount,"[1107.32421875, 1344.921875, 1205.2734375, 1370.703125]",
60,Paid:,"[1210.25390625, 1340.625, 1279.98046875, 1372.8515625]",
61,"R1,540.00","[1449.31640625, 1035.546875, 1578.80859375, 1063.4765625]",
62,R184.80,"[1472.55859375, 1097.8515625, 1577.1484375, 1121.484375]",
63,135.52,"[1472.55859375, 1158.0078125, 1577.1484375, 1183.7890625]",
64,R20.00,"[1485.83984375, 1218.1640625, 1578.80859375, 1250.390625]",
65,"£1,510.72","[1447.65625, 1280.46875, 1578.80859375, 1312.6953125]",
66,R800.00,"[1472.55859375, 1344.921875, 1577.1484375, 1370.703125]",
